MV Schillplate		
1		
1		
1		
0	82.84	
MainHull		
75.561	1.896	1.3
75.561	2.042	1.649
75.561	2.18	1.999
75.561	2.367	2.503
75.561	2.57	3
75.561	2.83	3.51
75.561	3.127	4
75.561	3.468	4.507
75.561	3.827	5
75.561	4.215	5.496
75.561	4.625	5.975
75.561	5.065	6.445
75.561	5.531	6.85
75.561	5.971	9.432
75.561	0	9.432
	26	
75.5	0	0.001
75.5	0.199	0
75.5	0.417	0.019
75.5	0.634	0.056
75.5	0.846	0.115
75.5	1.048	0.201
75.5	1.283	0.348
75.5	1.452	0.5
75.5	1.574	0.65
75.5	1.68	0.813
75.5	1.772	0.985
75.5	1.854	1.16
75.5	2.061	1.64
75.5	2.192	1.981
75.5	2.32	2.324
75.5	2.453	2.664
75.5	2.598	2.999
75.5	2.86	3.509
75.5	3.155	4
75.5	3.856	5
75.5	4.243	5.496
75.5	4.652	5.974
75.5	5.09	6.444
75.5	5.554	6.85
75.5	5.982	9.431
75.5	0	9.431
	29	
75.4	0	0.001
75.4	0.229	0
75.4	0.448	0.02
75.4	0.666	0.056
75.4	0.879	0.115
75.4	1.081	0.201
75.4	1.245	0.298
75.4	1.317	0.348
75.4	1.386	0.401
75.4	1.437	0.449
75.4	1.485	0.5
75.4	1.585	0.622
75.4	1.675	0.753
75.4	1.756	0.89
75.4	1.829	1.03
75.4	2.149	1.771
75.4	2.173	1.827
75.4	2.214	1.942
75.4	2.233	2.001
75.4	2.657	3.031
75.4	3.204	4
75.4	3.543	4.507
75.4	3.902	5
75.4	4.288	5.494
75.4	4.695	5.972
75.4	5.13	6.442
75.4	5.59	6.85
75.4	5.999	9.429
75.4	0	9.429
	29	
75.3	0	0.001
75.3	0.261	0
75.3	0.479	0.02
75.3	0.699	0.056
75.3	0.913	0.114
75.3	1.115	0.201
75.3	1.197	0.248
75.3	1.278	0.299
75.3	1.35	0.348
75.3	1.42	0.402
75.3	1.627	0.635
75.3	1.795	0.901
75.3	1.811	0.928
75.3	1.819	0.941
75.3	1.827	0.955
75.3	2.214	1.845
75.3	2.319	2.139
75.3	2.432	2.43
75.3	2.553	2.717
75.3	2.685	3
75.3	2.954	3.508
75.3	3.251	4
75.3	3.59	4.507
75.3	4.332	5.493
75.3	4.738	5.969
75.3	5.17	6.44
75.3	5.626	6.85
75.3	6.015	9.428
75.3	0	9.428
	25	
75.2	0	0.001
75.2	0.293	0
75.2	0.513	0.019
75.2	0.732	0.056
75.2	0.946	0.114
75.2	1.149	0.201
75.2	1.232	0.248
75.2	1.385	0.348
75.2	1.455	0.401
75.2	1.567	0.514
75.2	1.664	0.642
75.2	1.752	0.777
75.2	1.838	0.912
75.2	2.266	1.888
75.2	2.37	2.17
75.2	2.48	2.451
75.2	2.727	3
75.2	3	3.507
75.2	3.3	3.999
75.2	3.82	4.768
75.2	4.385	5.504
75.2	4.999	6.217
75.2	5.66	6.85
75.2	6.03	9.426
75.2	0	9.426
	30	
75.1	0	0.001
75.1	0.325	0
75.1	0.479	0.012
75.1	0.633	0.032
75.1	0.786	0.06
75.1	0.936	0.1
75.1	1.062	0.145
75.1	1.184	0.201
75.1	1.266	0.248
75.1	1.347	0.298
75.1	1.419	0.348
75.1	1.541	0.449
75.1	1.589	0.499
75.1	1.663	0.592
75.1	1.731	0.692
75.1	1.795	0.793
75.1	1.86	0.892
75.1	2.309	1.907
75.1	2.41	2.187
75.1	2.52	2.463
75.1	2.771	3
75.1	3.047	3.506
75.1	3.347	3.999
75.1	3.865	4.767
75.1	4.427	5.502
75.1	5.036	6.201
75.1	5.693	6.85
75.1	5.919	8.499
75.1	6.045	9.424
75.1	0	9.424
	28	
75.05	0	0.001
75.05	0.342	0
75.05	0.496	0.011
75.05	0.65	0.031
75.05	0.802	0.06
75.05	0.952	0.1
75.05	1.079	0.145
75.05	1.201	0.2
75.05	1.284	0.247
75.05	1.493	0.392
75.05	1.609	0.499
75.05	1.683	0.591
75.05	1.748	0.691
75.05	1.81	0.792
75.05	1.875	0.89
75.05	2.329	1.91
75.05	2.43	2.189
75.05	2.541	2.464
75.05	2.793	3
75.05	3.069	3.506
75.05	3.37	4
75.05	3.887	4.766
75.05	4.448	5.5
75.05	5.055	6.2
75.05	5.709	6.85
75.05	5.929	8.498
75.05	6.052	9.424
75.05	0	9.424
	28	
75	0	0.001
75	0.358	0
75	0.513	0.012
75	0.667	0.032
75	0.82	0.06
